,title,link,tag
0,"우울한 날, 포근하게 안아주는 위로노래모음 | PLAYLIST",/watch?v=4xsser5_duU,#우울한날 #슬픈노래 #힘들때듣기좋은노래
1,힙한 하루🤟 적당히 둠칫한 힙합 & 알앤비 노래모음 | PLAYLIST,/watch?v=OiFTo6AkADU,#힙합노래모음 #감성힙합 #알앤비
2,가정의 달👪 부모님 생각나는 가족노래모음 | PALYLIST,/watch?v=a2WXrPQE9UA,#가족노래모음 #가족노래 #부모님노래
3,전남친 전여친 생각나는 이별노래모음 | PLAYLIST,/watch?v=Vh0omXrlS5k,#이별노래모음 #이별플리 #헤어진날
4,짝사랑 말고🙅‍♀️ 짝이 생기게 되는 잔잔한 고백 노래모음 | PLAYLIST,/watch?v=r6hnnDgXPvM,#짝사랑노래 #고백노래 #설레는노래
5,신나는 노동요😎 내적댄스 샘솟는 걸그룹 & 여자아이돌 노래모음 | PLAYLIST,/watch?v=FbwBprHeLrQ,#여자아이돌노래모음 #걸그룹노래모음 #여돌노래모음
6,[PLAYLIST] 올 봄에는 짝사랑이 성공하길🙏 봄에 듣기 좋은 따뜻한 사랑노래모음,/watch?v=4WNJE9gq030,#봄노래모음 #봄에듣기좋은노래 #봄노래
7,"나른한 봄날, 낮잠자며 듣기좋은 인디노래모음😴 | PLAYLIST",/watch?v=vh_JVKkpsL4,#낮잠잘때듣기좋은노래 #낮잠플리 #나른한노래
8,"[그시절] 나의 오래된 MP3 속, 2000년대 발라드 노래모음 | 𝗣𝗟𝗔𝗬𝗟𝗜𝗦𝗧 | 2000년대 노래모음",/watch?v=o-QxXe5kfoE,#2000년대노래 #2000년대발라드 #발라드노래모음
9,낮부터 밤까지 아이유 노래모음 50곡 | IU Playlist Best 50 Song | 플레이리스트,/watch?v=3FoJqr5pIS4,#아이유노래 #아이유노래모음 #아이유플레이리스트
10,남들 다 아는 노래말고 나만 알고싶은 인디 발라드 노래모음 | PLAYLIST,/watch?v=vVR03tYMvSk,#인디노래 #인디발라드 #발라드노래
11,캐빈말고 캐롤! 산타와 함께듣는 크리스마스 캐롤 노래모음 🎅☃️🌲 | Christmas Carols | PLAYLIST,/watch?v=EawahT8d6bQ,#크리스마스노래 #캐롤모음 #겨울노래
12,"도시의 밤, 드라이브 할 때 듣기좋은 레트로한 신스팝 | 시티팝 노래모음 | PLAYLIST",/watch?v=t0k3PlfD2q8,#신스팝 #시티팝 #드라이브음악
13,"[여자편] 헤어진 날,  술 한잔 생각나는 여자 이별노래모음 | PLAYLIST",/watch?v=le6Chb97d8Y,#이별노래 #여자발라드 #헤어진날
14,추운 겨울 이불속에서 듣기좋은 따뜻한 겨울노래모음 | PALYLIST,/watch?v=9Lg9zBdscHs,#겨울노래 #잔잔한겨울노래 #따뜻한노래
15,🍁가을밤 고막을 녹여줄 감성 알앤비 | PLAYLIST,/watch?v=MnTsGVO5KRA,#알앤비 #감성알앤비 #가을노래
16,[그시절] 부모님의 카세트 테이프 속 가을 노래 20곡 | 𝗣𝗟𝗔𝗬𝗟𝗜𝗦𝗧,/watch?v=uV0P2dw5LFU,#가을노래 #옛날노래 #90년대노래
17,👰🤵결혼 축하한다! 결혼식 축가 발라드 모음 | PLAYLIST,/watch?v=PohCUb2sX7I,#결혼식축가 #축가 #축가추천
18,"헤어진 날, 서럽게 울기좋은 이별노래모음 | PLAYLIST",/watch?v=VaQ3mWkX8lw,#헤어진날 #이별노래 #이별한날
19,"니 생각에 잠 못드는 밤, 새벽감성노래 | PLAYLIST",/watch?v=sKAYnb5Wpxc,#새벽감성노래 #새벽에듣기좋은노래 #인디노래
20,"포기하고 싶을 때, 지친 나에게 위로가 되는 희망찬 응원가💪 | PLAYLIST | 가사포함",/watch?v=X2ju3_xodxc,#지칠때듣기좋은노래 #힘나는노래 #우울할때듣기좋은노래
21,여행갈 때 듣기좋은 텐션UP 노래모음🛫 | 재업로드 | PLAYLIST | 가사포함,/watch?v=50WTrXSs15w,#여행갈때듣기좋은노래 #여행노래 #신나는노래
22,[그시절] 우리의 여름과 함께했던 90년대 여름노래모음 | PLAYLIST | 가사포함,/watch?v=o4EwjL_14xU,#90년대여름노래 #여름에듣기좋은노래 #여름노래
23,짝사랑 성공기원🙏 썸탈때 듣기좋은 달달한 사랑노래 | PLAYLIST | 가사포함,/watch?v=qa-crWmooEc,#짝사랑 #달달한 #설레는
24,"힙합만 듣는 친구가 픽해준, 그루브한 감성힙합 노래모음 | PLAYLIST | 가사포함",/watch?v=dSrjNOLa_N4,#힙합노래모음 #국힙노래모음 #감성힙합
25,"조용한 여름밤, 가만히 누워서 듣기좋은 인디노래모음 | PLAYLIST | 가사포함",/watch?v=36H5KZ7YLN8,#밤에듣기좋은노래 #여름노래 #인디노래
26,"퇴근길, 버스창에 기대어 듣기좋은 박카스 같은 노래 BEST 10곡 | PLAYLIST",/watch?v=5Iz9gMi1Fjs,#퇴근할때듣기좋은노래 #퇴근길노래 #지칠때
27,"드라이브할 때, 도시를 달리는 청량한 K-시티팝 노래 모음 | PALYLIST",/watch?v=SPE5kQivFp8,#드라이브할때듣기좋은노래 #운전할때듣기좋은노래 #시티팝
28,"화창한 날, 산책할때 듣기좋은 인디노래 BEST 10곡 | PLAYLIST",/watch?v=762tHUGbmfk,#산책할때듣기좋은노래 #걸을때듣기좋은노래 #인디노래
29,"지치고 힘들 때, 토닥토닥 다독여주는 노래 BEST 10곡 | PLAYLIST",/watch?v=50D81GNFgjw,#지칠때 #힘들때 #위로가되는노래
30,"눈 오는날, 귀에 내리는 겨울노래 BEST 20곡 | PLAYLIST",/watch?v=m3sCNha0WX0,#겨울노래 #겨울에듣기좋은노래 #눈오는날듣기좋은노래
31,"선선한 날, 가을에 듣기좋은 가을 감성 노래 BEST 20 | PLAYLIST",/watch?v=Axl1IO7s4Ho,#가을노래모음 #가을에듣기좋은노래 #가을인디
32,"늦은저녁, 너는 아직 모르는 그루브한 감성힙합 BEST 10곡 | PLAYLIST | 가사포함",/watch?v=JCQrLDQ-iPY,#사클노래추천 #사클노래모음 #감성힙합
33,[PLAYLIST]무더운 여름밤에 듣기좋은 노래 BEST 20곡 [가사포함],/watch?v=-qnJYy29BgY,#여름밤에듣기좋은노래 #여름노래 #밤에듣기좋은노래
34,"[PLAYLIST] 헤어진날, 폭풍오열하는 이별노래모음 BEST 20곡 [가사포함] [재업로드]",/watch?v=m5OeDX_5gLM,#이별노래모음 #이별한날 #헤어진날
35,"[PLAYLIST] 지치고 힘든 날, 남 몰래 울기좋은 노래 BEST 10곡 [가사포함]",/watch?v=HOeGsR7jsvs,#지칠때 #힘들때 #울고싶을때
36,"[PLAYLIST] 별 헤는 밤, 산책할 때 듣기 좋은 노래 BEST 10곡 [가사포함]",/watch?v=P8HoJyx5v7w,#산책할때듣기좋은노래 #밤에듣기좋은노래 #인디노래
37,[PLAYLIST] 사랑에 빠졌을 때 듣기좋은 달달한 노래 BEST 20곡 [가사포함],/watch?v=5MN4IuMXOdE,#짝사랑노래 #달달한노래 #잔잔한노래
38,[PLAYLIST] Good Morning! 아침에 듣기좋은 상쾌한 노래 BEST 10곡 [가사포함],/watch?v=tMIAXJu3_wU,#아침에듣기좋은노래 #아침노래모음 #상쾌한노래
39,[PLAYLIST] 비오는날 듣기 좋은 노래 BEST 20곡 [가사포함],/watch?v=97Xb3-xMKHM,#비오는날듣기좋은노래 #비노래모음 #비오는날
40,[PLAYLIST]따스한 봄날 듣기좋은 달달한 노래 BEST 20곡[가사포함],/watch?v=Ov5JSV3_npw,#봄에듣기좋은노래 #봄노래모음 #달달한노래
41,[PLAYLIST]잠 잘때 듣기좋은 노래모음 BEST 10곡 [가사첨부],/watch?v=oBH58kPLmIQ,#잠잘때듣기좋은노래 #밤에듣기좋은노래 #잔잔한노래
